Date,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,total,GDPA,GDPQ,GDPM,45,46,49,52,55,56,58,59,60,61,62,63,69.1,69.2,70.2,71,72,73,74,77,78,79,80,81.2,82,85,90,95,96,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,A,B,C,D,E,F,G,H,I,J,L,M,N,O,P,Q,R,S,"Food, drink and tobacco1",Clothing and footwear,Household goods1,Other non-food1
Jan-08,365.1,671.4,695.6,1242,254.5,459.3,272.5,58.1,551.2,937.9,1147.7,403.3,2216.2,219.5,299.8,493.7,450.8,1406.6,1842.1,643.8,615.4,852.6,2531.9,155.5,1666.7,1115.7,2534.8,4581.3,186.3,1103.8,104,638.9,823.9,38.5,296.3,952.1,139.2,1354.2,1589931,404096,92.2,11260.9,55259.3,3227,3502.7,1269.2,4399.7,1610.1,1048.3,668.7,4782.7,4678.5,679.2,2223.1,1688,3312.2,3432.3,1252.3,1988.7,1092.3,1807.9,2865.8,1556.1,457.3,663.2,2360.3,3561.2,515.1,208.6,467.9,23.03,14.06,14.45,260.76,59.12,18.43,14.07,15.91,278.79,56.74,-0.07,-0.08,0.1,0.07,0.18,-0.1,-0.1,0.01,-0.41,0.01,-0.23,-0.03,-0.06,0.19,0.14,-0.14,-0.02,0.02,76.8,60,85,60.6
Feb-08,443.1,665.5,701.9,1230.2,276,491.8,245.6,69.9,603,904.5,1129.2,395.4,2331.1,248.1,308.8,482,433.3,1300.2,1891.1,680.9,731.2,827.7,2657.4,251.1,1706.3,1156.6,2697.4,5098.1,266.7,1273.9,107.2,714.8,822.5,54.9,343.3,1045.7,133.3,1452.3,1547563,394713,92.6,10372.9,52163.7,3251.3,3558.8,1391.4,4438.4,1718.5,1089.1,607.2,4909.1,4952.7,726.4,1962.4,1532,3390.7,3561.3,1077.5,2014.2,1192.3,1794.6,3017.5,1749.3,443.1,600.2,2611.3,3054.1,478.5,223.9,465.2,24.01,15.38,15.78,282.13,58.87,19.55,15.39,17.26,298.48,56.28,-0.08,0.15,0.05,0.19,0.09,0.03,0.08,-0.03,0.41,-0.01,-0.07,-0.02,-0.05,-0.28,-0.1,-0.21,0.12,-0.06,81.9,60.4,78.7,66.8
Mar-08,438.8,695.2,693.1,1198.6,323.2,489.1,262.4,61.3,592.4,883,1198.9,416.7,2265.2,260.9,321.5,469,450.4,1242.2,1775.7,656,694.8,880.3,2629.7,264.2,1887.6,1163.1,2785.3,4854.7,223.7,1289.4,157.7,683.1,860.6,48.2,349,1148.4,138.4,1424.8,1601927,395530,91.7,16555.7,64294.8,3422.5,3570.8,1536.6,4706.2,1763,1199,696.8,5171.8,5822.2,778.8,2212.7,1516.1,3702.4,3755.5,1399.3,2289.9,1264.3,1884.3,3063,1779,460.3,599.2,2766.3,3249,529,226.9,470.7,22.13,14.41,14.78,278.28,59.27,17.84,14.14,15.47,291.83,56.41,-0.05,0,0.06,-0.16,-0.13,0.06,0.02,0.14,-0.02,0.01,0.23,0.19,0.13,0.53,0.12,0.33,0.17,0,82.9,63.1,79.9,67.5
Apr-08,465,668.1,766.1,1166.3,327.9,545.7,256.7,65.1,629.4,949.6,1188.4,429.3,2278.7,246.7,328.7,501.8,458.5,1239.7,1936.3,738.2,770,919,2801,195.1,1750,1164.2,2845.2,5103.1,241.8,1388.5,106.5,698.3,835,48.9,375.4,1076.9,148.9,1658.1,1659784,395592,92.2,13020.9,61940.6,3538.4,3765.8,1633.4,4705.8,1710.4,1092.7,679,4881.3,5146,742.2,2668.3,1404.7,3673.7,3785.9,1241.2,2148.6,1219,1829.9,3045.7,1691.1,461.3,624.1,2636.3,3715.1,605.5,221.5,485.6,24.33,16.27,16.64,289.12,59.25,19.05,15.91,17.6,299.96,56.47,0.01,0.1,0.12,0.13,0.41,-0.03,0.05,0.07,-0.1,-0.08,-0.19,-0.04,-0.02,-0.2,-0.08,0.18,-0.05,0.01,82.9,65.2,79.2,69.6
May-08,440.8,702.3,705.2,1204.3,392.9,504.2,255.5,62.8,627.4,926.9,1158.8,392.3,2446.3,242.9,341.1,522.9,437.9,1140.1,1832.3,688.4,701.6,836.8,2669.3,215.9,1788.7,1082.9,2706.6,4617.6,265.8,1310.8,99,680.6,762.1,55.2,356,1050,138.7,1599.6,1712321,388041,91.3,12065.9,59509.8,3405.5,3728.2,1777.7,4932.1,1655,1050,669.5,4952,5081.5,714,1761.8,1308.2,3399.8,3764.8,1155.6,2102.6,1206.5,1814,2981.1,2307.2,461.9,606.4,2617.9,3304.7,480.9,222.5,487.8,23.06,15.86,15.97,292.46,59.45,17.6,15.41,16.71,301.35,56.44,-0.02,-0.24,-0.11,-0.21,-0.49,-0.09,-0.01,0.09,0.21,-0.01,-0.05,-0.11,-0.05,-0.35,-0.09,-0.39,-0.03,0.03,86.8,74.3,78,74.4
Jun-08,446.3,661.4,693.1,1194.8,359.4,513.4,263.6,61.1,577.4,899.9,1169.1,433.4,2328.3,244.9,370.1,512.2,459.8,1233,1853.4,696.8,725.6,890.6,2749.9,241.9,1904.9,1144,2873.5,4760,300,1553.3,114.2,648.3,794.5,63.9,422.8,1148.7,138.1,1548.2,1782109,380133,91,12429.3,64541.4,3428.4,3799,1817.4,4762.8,1761.6,1100.4,690.5,5058.5,5613.4,759.3,2104.6,1439.8,3481.7,3904.7,1154.3,2203.5,1259.3,1803.9,3057.8,2332.6,449.7,623.6,2739.6,3344.6,452.4,225.3,499.2,23.56,16.34,16.59,292.47,59.24,18.22,15.93,17.38,301.81,56.16,-0.05,0.02,0.06,-0.31,-0.1,-0.01,-0.06,0.24,-0.07,0.02,0.15,0.03,0.03,0.16,-0.19,0.31,-0.11,-0.08,85.9,69.1,76.1,73.6
Jul-08,457.3,716.8,779,1224.6,366,527.3,308.6,60.5,596.7,985.5,1112.1,470,2698.2,233.8,368.7,546.6,470.9,1298.7,1924.7,689.3,714.9,882.8,2876,236,1732.6,1136,2793.1,4710.6,249.2,1471.4,112.8,652.4,809.7,51,399.5,1103.7,148.6,1594.4,1861964,387704,90.5,11248.1,65918.6,3588.4,3732.6,1962,5071.6,1622.5,1056.9,671.4,5020.3,5220.6,741.2,2321.1,1319.4,3420.8,3875.2,1103.6,2077.5,1222.2,1936.2,2920.5,2947.5,444.9,633.3,2644.7,3646.8,556.6,218.4,519.3,23.8,17.01,17,297.9,58.8,18.06,16.17,17.54,303.83,55.78,-0.04,-0.09,0.03,0.14,0.07,-0.09,0.09,0.03,0.19,0.01,-0.14,0.05,0.02,0.06,-0.23,-0.39,0.12,0.06,85.4,72.7,76.6,72.8
Aug-08,399.5,672.4,690,1133.6,348.2,456.4,318.9,53.1,541.4,890.5,1043.9,403.7,2403.4,188.6,349.2,511.9,411.4,1119,1717.8,594.1,629.4,719.3,2613.1,194.9,1672.4,1084.7,2334.7,3060.1,220.8,1226.8,96.6,605.7,716.5,50.9,334.5,985,157.8,1640.6,1916896,391685,90.4,8845.9,57984,3196.3,3545.6,1891.3,5095.9,1537.2,1054.7,707.8,4968.9,5076.1,699.3,1807.3,1153.2,3231.2,3728.4,1065.1,1930.2,1052.9,1733.6,2785.8,2886,455.3,644.2,2217.5,3489.8,523.3,195.8,472.1,21.09,15.8,15.65,295.22,59.07,16.07,15.01,16.07,299.17,56.34,0,-0.16,-0.28,-0.14,-0.29,-0.15,-0.13,-0.41,0.01,-0.12,-0.11,-0.2,-0.12,-0.32,-0.15,-0.15,-0.13,-0.13,84.5,70.9,78.1,68.7
Sep-08,412.1,737,771.7,1406.8,329.1,533.4,336.4,63.8,579.6,1001.2,1229.7,417.7,2486.8,226,372.8,551.4,486.2,1278.2,1892.3,662.5,663.9,835.8,2859.5,268.7,1881.4,1205.2,2801.3,4630,283.9,1461.3,131.3,741.3,838.4,66.7,395.9,1175.4,150.1,1501.6,1995479,397761,89.5,13589.1,61220.4,3498.9,3756.6,1839.7,4847.4,1938.3,1093.7,666.8,5101.8,5956.2,751.7,2133.1,1330.8,3513.3,3832.1,1215.9,2213.6,1215.3,1778.5,2957.2,2416.7,531.7,641.6,2625.8,4154.1,476.9,217.7,475.2,23.44,16.06,16.76,291.46,58.82,17.98,15.28,17.48,297.84,56.42,0.14,0.15,0.3,0.28,0.23,0.06,0.15,0.23,-0.21,0.19,0.19,0.2,0.11,0.26,0.24,0.32,-0.12,0.2,83.6,71.1,77.9,68.2
Oct-08,417.8,786.9,889.5,1566.5,333.3,518.7,347.4,59.1,576.8,1017.9,1207.8,400.7,1983.3,198.2,367.8,569.7,484.8,1428.2,2028.5,683.5,688.6,832.8,2784.9,269,1872.3,1251,2823.5,4044.5,285.3,1630.2,137,714.5,905.4,69.1,444.1,1163.9,144.9,1291.8,2071667,395751,88.9,10192.5,59342.7,3455.1,3779.5,1769,4938.8,1891.6,1109.8,717.1,5376.3,6091.7,755.6,2454.9,1415.1,3534.8,3934,1235,2257.9,1245.7,1803.4,3034.2,1763.6,532.7,651.5,2697.3,5236.3,534.4,225.3,481.4,23.43,15.55,16.52,290.78,58.56,18.83,14.91,17.34,299.64,56.37,0.06,-0.05,0.07,0.11,0.09,-0.03,0.15,-0.01,0.06,0.08,-0.12,-0.02,0,0.1,0.07,-0.17,0,0.03,85.7,75.8,82.5,70.4
Nov-08,275.4,720.5,747.1,1381.9,311,474.3,345.7,56.9,481.7,908.5,1116.3,349.1,1467.6,187.7,291.3,485.8,416.9,1153.3,1783.8,574.8,659.1,704.7,2440.5,264.3,1811.8,1147,2493,3309,283.4,1614.1,117.6,639.2,809.3,69.4,441.1,1096.6,129.4,1129.2,2144304,400852,88.1,8649.6,59319.3,3147.9,3487.1,1533.9,4500.5,1725.6,1159.2,680.1,5383.9,6129.2,759.4,1946.8,1280.5,3500.6,3661.9,1256.2,2385.2,1152.2,1637.3,2759.8,1298.5,483.5,612.5,2492.1,3814.4,491.1,217.2,451.8,21.59,13.73,15.14,274.03,58.65,16.85,13.07,15.84,280.68,56.36,-0.13,-0.02,-0.29,0.29,-0.47,-0.16,-0.16,-0.23,-0.38,-0.13,-0.14,-0.16,-0.26,-0.37,-0.18,0.46,-0.23,-0.06,89.6,82.9,95.6,81.7
Dec-08,225.5,815.6,788.4,1444.1,356.5,412.4,314,45,486.8,879,1027.2,316.2,1241.8,166.4,243.8,486,403.3,1383.3,1450.4,480.8,507.3,705.2,2014.9,343.3,1982.9,1036.5,2422.1,2519,330.9,1860.6,130.8,489.5,758,85.4,511.5,1100,126,1181.4,2216451,407563,88.1,8132.2,58563.5,2995.3,3478.1,1541.9,5143.2,1567.1,1192.5,783,5705.9,6430,796.2,2106.7,1203.2,3295.8,3640.4,1558.6,2018.6,1218.6,1535.8,2581.4,1621,523.7,595.7,2671.1,3495,480.9,209.2,515.9,19.04,11.49,12.82,261.5,59.14,14.93,11.18,13.7,270.54,57.25,0.27,0.07,-0.13,0.08,-0.51,-0.04,0.23,-0.18,0.13,-0.02,0.21,0.09,0.03,0.1,-0.19,-0.04,-0.04,-0.06,96.8,102.7,109.4,101.7
Jan-09,230.2,579.7,703,1194.7,281.5,434.5,259.1,54.8,481.7,811.6,1064.6,356,1440.6,193.9,252.3,467.2,474.4,1411.4,1559.6,491.4,500.1,635.6,2170.7,175.8,1622.5,910.5,1958.9,2604,152.9,1052.1,118.5,533.8,685.9,73.8,371.1,913.6,127.6,1096.2,,417878,87.4,9007.8,51504.3,2905.9,3259.6,1219.3,4057.7,1342.3,993.6,654.7,5173.5,4910.7,627.8,1998.3,1518.9,3042.5,3394.1,1001.5,1599.9,1040.5,1463.7,2267.7,1464.7,496.9,617.3,2060.8,3546.6,482,239.3,457.5,18.72,11.88,13.42,248.14,59.21,15.36,11.61,14.34,258.07,57.86,-0.27,-0.02,-0.06,0.06,0.37,-0.17,-0.16,-0.17,-0.4,-0.06,-0.18,-0.18,-0.19,0.08,0.07,-0.15,0.08,0.09,81.8,62,80,61.1
Feb-09,245.2,577.1,706.3,1357.4,277.1,446.9,246.3,52.6,517.6,820.8,979.9,375.9,1377.4,191,256.5,458.4,446.6,1425.8,1547.8,493.9,523.9,638,2161.8,193.5,1618.1,900.9,2069.6,2496.8,184.3,1251.6,132,593.8,689.3,90.9,430.4,990.2,119.3,1120.8,,407071,87,8440.7,52319.1,2827.5,3031.7,1253.1,4066.2,1374.4,954.4,591.5,5110.2,5082.9,569.3,1771.1,1344.8,3049.2,3466.6,1132.2,1685.4,1062.8,1404.7,2217.9,1509.1,481.2,611.7,2052.9,3036.6,474.8,243.7,447.4,20.41,13.17,14.8,259.48,58.76,16.72,12.82,15.76,272.1,57.65,-0.12,0.02,-0.06,0.13,-0.11,-0.04,-0.15,-0.12,-0.01,-0.02,-0.08,-0.01,-0.02,-0.23,-0.02,-0.21,-0.1,-0.11,86.2,59.4,71.1,61.9
Mar-09,306.3,671.1,797.6,1665.7,352.3,496.1,255.6,56.2,585.5,887.7,1166.9,480.9,1515.9,256.7,296.9,526.9,500.4,1551.2,1725.4,558.4,673.3,667.3,2409.3,307.4,1974.4,996.7,2344.3,3131.1,311,1800,147,601.2,888.7,55.2,441.9,1126.3,137.4,1291.5,,412440,86.2,13662.2,52613.8,3113.8,3225.7,1480.4,4602.8,1591.5,1138.5,723.9,5652.3,6463.3,620.8,2211.6,1521.4,3729,3786.2,1179.5,1942.2,1269.3,1512.2,2508.1,1602.6,512.3,612.8,2370.3,3403.4,505.3,269.4,463.5,21.17,14.14,15.95,279.44,59.45,17.99,14.06,17.07,295.17,58.72,0.05,0.06,0.35,-0.07,0.34,0.23,0.11,0.38,0.42,0.15,0.38,0.24,0.27,0.7,0.24,0.38,0.38,0.29,87.4,64.7,73.3,66.2
Apr-09,285.5,709.4,759,1267.3,376.1,482.2,210.6,53.7,578.8,852.3,1018.2,417.5,1420.2,221.8,289.2,502.8,470.3,1468.8,1644.7,518.4,632.7,654.1,2123.2,218.3,1687.5,866.7,2009.2,2949.5,299.4,1437.9,139,595.5,721.2,40.3,396.3,992.8,127.9,1256.1,,422395,87.2,9859.7,49545.4,2931.9,3094.3,1628.3,4688.9,1504.1,963.8,649.3,5149.8,4909.5,752.2,2222.4,1304.6,3100,3534,1082.6,1765.3,1009.5,1466.9,2264,1680.4,487.8,610.7,2533.3,3557.5,591.8,224.3,448.4,21.11,14.27,15.61,288.95,59.82,17.84,13.86,16.38,296.8,58.98,-0.02,-0.27,-0.17,0.15,0.03,-0.1,-0.06,-0.21,-0.17,-0.19,-0.3,-0.18,-0.13,-0.38,-0.08,-0.29,0.08,-0.14,89.6,70.1,76,68.2
