Date,Rfood,Rclothing,Rhousehold,RNFood,VATagg,VATprod,VATcon,VATserv,MBSProdTot,MBSServTot,NSA,NSA,NSA,NSA,NSA,NSA,NSA,NSA,MBSProdNew,MBSServNew
2008 Jan,76.8,60,85,60.6,-0.07,0.1,-0.1,-0.08,34953.5,121838.6,23.03,14.06,14.45,260.76,18.43,14.07,15.91,278.79,34322.2,121838.6
2008 Feb,81.9,60.4,78.7,66.8,-0.08,0.06,0.03,0.02,36791.3,118347.6,24.01,15.38,15.78,282.13,19.55,15.39,17.26,298.48,36172,118347.6
2008 Mar,82.9,63.1,79.9,67.5,-0.05,0.05,0.06,0.09,36825.3,140686.1,22.13,14.41,14.78,278.28,17.84,14.14,15.47,291.83,36176.6,140686.1
2008 Apr,82.9,65.2,79.2,69.6,0.01,0.12,-0.03,0.02,37951.8,134314,24.33,16.27,16.64,289.12,19.05,15.91,17.6,299.96,37312.1,134314
2008 May,86.8,74.3,78,74.4,-0.02,-0.13,-0.09,-0.04,36632.3,129524.9,23.06,15.86,15.97,292.46,17.6,15.41,16.71,301.35,35962.5,129524.9
2008 Jun,85.9,69.1,76.1,73.6,-0.05,0.05,-0.01,0.02,37623.1,136838.6,23.56,16.34,16.59,292.47,18.22,15.93,17.38,301.81,36993.8,136838.6
2008 Jul,85.4,72.7,76.6,72.8,-0.04,0.03,-0.09,0.04,38171.8,137662.2,23.8,17.01,17,297.9,18.06,16.17,17.54,303.83,37510,137662.2
2008 Aug,84.5,70.9,78.1,68.7,0,-0.27,-0.15,-0.17,33214.8,123974.7,21.09,15.8,15.65,295.22,16.07,15.01,16.07,299.17,32590.8,123974.7
2008 Sep,83.6,71.1,77.9,68.2,0.14,0.3,0.06,0.17,38357.7,135990.1,23.44,16.06,16.76,291.46,17.98,15.28,17.48,297.84,37666.4,135990.1
2008 Oct,85.7,75.8,82.5,70.4,0.06,0.07,-0.03,0.07,37955.8,132457.2,23.43,15.55,16.52,290.78,18.83,14.91,17.34,299.64,37219.2,132457.2
2008 Nov,89.6,82.9,95.6,81.7,-0.13,-0.28,-0.16,-0.16,33362.7,125917.3,21.59,13.73,15.14,274.03,16.85,13.07,15.84,280.68,32688.3,125917.3
2008 Dec,96.8,102.7,109.4,101.7,0.27,-0.14,-0.04,0.13,31842.8,125600.5,19.04,11.49,12.82,261.5,14.93,11.18,13.7,270.54,31071.8,125600.5
2009 Jan,81.8,62,80,61.1,-0.27,-0.05,-0.17,-0.14,28993.6,112349.4,18.72,11.88,13.42,248.14,15.36,11.61,14.34,258.07,28445.8,112349.4
2009 Feb,86.2,59.4,71.1,61.9,-0.12,-0.06,-0.04,-0.12,29551.5,111613.1,20.41,13.17,14.8,259.48,16.72,12.82,15.76,272.1,29005.7,111613.1
2009 Mar,87.4,64.7,73.3,66.2,0.05,0.34,0.23,0.22,34588.1,124288.1,21.17,14.14,15.95,279.44,17.99,14.06,17.07,295.17,33957.7,124288.1
2009 Apr,89.6,70.1,76,68.2,-0.02,-0.16,-0.1,-0.13,31372.5,113560.7,21.11,14.27,15.61,288.95,17.84,13.86,16.38,296.8,30694.4,113560.7
2009 May,89.9,68.8,75.8,69.3,-0.07,-0.13,-0.05,-0.06,29765,109989.2,20.26,14.12,15.3,289.97,15.84,13.08,15.35,289.18,29170.2,109989.2
2009 Jun,91.3,72.7,73.6,71.5,0,0.21,0.14,0.1,33287.2,122107,21.86,15.43,16.67,294.76,17.68,14.54,16.95,296.21,32675.8,122107
2009 Jul,89,74.7,78.6,71.3,-0.07,-0.02,-0.04,0,32336.8,118889.5,22.69,16.25,17.27,302.99,17.32,14.86,16.98,297.67,31708.2,118889.5
2009 Aug,88.3,69.3,79.6,68.8,-0.05,-0.28,-0.12,-0.16,29109.2,108822.1,18.7,14.33,15.17,287.83,15.14,14.1,16.29,301.16,28554.5,108822.1
2009 Sep,86.5,73.3,80,67.1,0.18,0.34,0.13,0.2,34542.7,129336.1,22.56,15.76,17.26,295.72,17.06,14.81,17.66,298.04,33882.3,129336.1
2009 Oct,87.4,78.9,88,71.5,0.04,0.01,-0.05,0.05,34844.2,125526.9,22.34,15.1,17.18,293.79,17.8,14.69,18.03,301.13,34209.1,125526.9
2009 Nov,90.9,84.3,101,85.2,-0.05,-0.1,-0.05,-0.09,33990.6,125361.4,22.95,14.88,17.31,275.13,18.09,14.21,17.96,293.17,33409.9,125361.4
